Date,Open,High,Low,Close,Adj. Close,Change,Volume
2014-07-10,113.54,113.66,112.82,112.86,82.224,+0.03%,7196900
2014-07-11,113.35,113.68,113.28,113.58,82.748,+0.64%,4676500
2014-07-14,113.28,113.41,112.93,113.09,82.391,-0.43%,4743300
2014-07-15,112.83,113.47,112.50,112.86,82.224,-0.20%,7720000
2014-07-16,113.00,113.58,112.94,113.46,82.661,+0.53%,4615800
2014-07-17,114.23,115.05,113.94,114.89,83.703,+1.26%,10901000
2014-07-18,114.88,114.96,114.11,114.52,83.433,-0.32%,6677900
2014-07-21,115.01,115.63,115.01,115.09,83.848,+0.50%,5724100
2014-07-22,115.09,115.46,114.65,115.33,84.023,+0.21%,5753200
2014-07-23,115.51,115.63,115.17,115.18,83.914,-0.13%,3489600
2014-07-24,114.52,114.58,114.25,114.32,83.287,-0.75%,6609000
2014-07-25,115.34,115.68,115.16,115.67,84.271,+1.18%,7041800
2014-07-28,115.59,115.90,115.12,115.51,84.154,-0.14%,5138300
2014-07-29,115.87,116.07,115.42,115.93,84.460,+0.36%,6579300
2014-07-30,115.15,115.38,114.17,114.32,83.287,-1.39%,12251200
2014-07-31,113.53,114.58,113.47,113.98,83.040,-0.30%,18254000
2014-08-01,113.58,114.87,113.05,114.56,83.682,+0.51%,14951200
2014-08-04,114.53,114.81,114.26,114.26,83.463,-0.26%,5183800
2014-08-05,114.07,114.80,113.68,114.63,83.734,+0.32%,8032000
2014-08-06,115.47,115.47,114.60,114.70,83.785,+0.06%,7289200
2014-08-07,114.84,115.77,114.57,115.77,84.566,+0.93%,9745500
2014-08-08,115.93,116.42,115.38,115.52,84.384,-0.22%,9536700
2014-08-11,115.65,115.82,115.29,115.51,84.376,-0.01%,6668800
2014-08-12,115.41,115.44,114.73,114.76,83.828,-0.65%,8122400
2014-08-13,114.87,115.52,114.78,115.51,84.376,+0.65%,8210500
2014-08-14,115.93,116.50,115.39,116.44,85.056,+0.81%,9028200
2014-08-15,116.71,118.36,116.69,117.71,85.983,+1.09%,17606700
2014-08-18,117.21,117.30,116.39,116.54,85.129,-0.99%,7595300
2014-08-19,117.08,117.15,115.98,116.18,84.866,-0.31%,5936900
2014-08-20,116.04,116.11,115.57,115.99,84.727,-0.16%,7275600
2014-08-21,116.07,116.76,116.02,116.64,85.202,+0.56%,6790700
2014-08-22,116.74,117.43,116.21,117.29,85.677,+0.56%,10149900
2014-08-25,117.45,117.78,117.21,117.73,85.998,+0.38%,5760700
2014-08-26,117.94,117.99,117.21,117.35,85.720,-0.32%,5487600
2014-08-27,117.70,118.41,117.40,118.35,86.451,+0.85%,7265800
2014-08-28,119.13,119.37,118.67,118.97,86.904,+0.52%,9463600
2014-08-29,118.92,119.43,118.75,119.05,86.962,+0.07%,8512900
2014-09-02,117.28,117.38,116.70,116.73,85.462,-1.95%,10506000
2014-09-03,116.40,117.38,116.31,117.38,85.938,+0.56%,6553900
2014-09-04,116.62,116.88,115.93,115.95,84.891,-1.22%,12528900
2014-09-05,116.44,116.60,115.44,115.73,84.730,-0.19%,6886000
2014-09-08,116.41,116.63,115.45,115.78,84.767,+0.04%,9326400
